gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Female,,High School,95.61,0,4,7213.0,More than 1,,Platinum,57264
Male,,Bachelor,,1,7,0.0,1,A,Platinum,28716
Female,Urban,High School,5.46,0,3,4007.0,More than 1,A,Platinum,137160
Male,Urban,Bachelor,5.86,0,3,0.0,More than 1,B,Platinum,98664
Male,Urban,High School,7.29,1,3,2512.0,1,B,Silver,34104
Male,Urban,High School,2.78,1,6,8313.0,1,A,Platinum,48768
Female,Urban,Bachelor,4.12,0,3,6049.0,1,A,Gold,29676
Male,Urban,High School,,0,5,15187.0,More than 1,A,Gold,103380
Female,Rural,High School,46.94,1,6,0.0,More than 1,A,Platinum,71388
Female,Rural,High School,6.22,1,0,0.0,1,B,Platinum,150024
Male,Urban,High School,2.49,0,5,3351.0,More than 1,B,Platinum,58128
Male,Urban,Bachelor,7.32,0,3,0.0,More than 1,A,Gold,245952
Male,Urban,Bachelor,9.63,0,3,8358.0,More than 1,A,Platinum,425004
Female,,High School,92.91,0,1,0.0,More than 1,B,Platinum,61644
Male,Urban,High School,7.86,1,1,5050.0,1,C,Silver,108336
Male,Urban,High School,7.21,0,1,7365.0,More than 1,A,Gold,94200
Female,Rural,Bachelor,92.09,1,7,0.0,More than 1,B,Platinum,64380
Female,Rural,Others,37.24,0,1,0.0,More than 1,A,Gold,64764
Male,Rural,Bachelor,9.37,1,1,4237.0,More than 1,,Gold,69600
Female,Urban,Others,4.02,1,1,5244.0,1,A,Silver,31848
Male,Urban,Bachelor,8.2,1,4,2987.0,More than 1,B,Platinum,68412
Female,Urban,Bachelor,4.3,1,2,8915.0,More than 1,B,Silver,65976
Female,Urban,High School,5.47,1,4,0.0,1,A,Platinum,41688
Female,Urban,High School,9.55,0,3,4037.0,More than 1,,Platinum,59820
Female,Urban,High School,8.7,0,7,,More than 1,A,Gold,70572
Male,Urban,Bachelor,77.46,1,4,4877.0,More than 1,A,Gold,228636
Male,,Bachelor,5.8,1,7,3758.0,More than 1,A,Gold,69600
Female,Urban,Bachelor,7.85,1,6,7724.0,More than 1,A,Platinum,168540
Female,Rural,Bachelor,20.15,1,2,2522.0,More than 1,A,Silver,65988
Female,Urban,High School,3.52,1,6,3428.0,More than 1,C,Silver,549408
Female,Urban,High School,8.47,0,4,6877.0,More than 1,A,Gold,64668
Male,Urban,High School,3.18,1,0,7999.0,More than 1,A,Platinum,90444
Female,,Bachelor,3.32,1,2,,More than 1,A,Platinum,257040
Male,Rural,High School,8.31,0,7,5163.0,1,C,Platinum,73404
Female,Urban,Bachelor,,0,1,7534.0,More than 1,A,Platinum,225672
Male,Urban,High School,5.22,0,7,7728.0,More than 1,A,Platinum,62448
Male,Rural,Bachelor,4.7,1,5,0.0,More than 1,B,Platinum,61860
Male,Rural,High School,93.51,1,5,0.0,More than 1,B,Platinum,93528
Male,Rural,High School,9.84,1,7,0.0,1,A,Gold,36360
Female,Urban,High School,2.3,0,7,12060.0,More than 1,,Platinum,281028
Female,Urban,High School,9.34,1,6,2207.0,More than 1,A,Gold,61032
Male,Rural,Bachelor,,0,6,0.0,More than 1,A,Platinum,58620
Male,Rural,High School,8.41,1,6,3817.0,More than 1,A,Platinum,102672
Female,Urban,High School,7.31,1,6,4554.0,More than 1,A,Silver,524304
Male,Urban,Bachelor,9.65,0,3,7773.0,More than 1,A,Platinum,468864
Male,Urban,Bachelor,5.84,0,7,0.0,1,A,Platinum,43560
Female,Urban,High School,3.71,0,7,7721.0,More than 1,C,Silver,164628
Male,Rural,High School,2.68,1,7,4987.0,More than 1,B,Platinum,68112
Female,Urban,Bachelor,,1,4,7463.0,More than 1,A,Platinum,179088
Female,Rural,High School,,0,5,3595.0,More than 1,C,Gold,71412
Female,Urban,High School,5.11,1,7,6806.0,More than 1,A,Platinum,93696
Male,Rural,High School,39.88,1,1,5053.0,1,A,Silver,46260
Male,Urban,Bachelor,4.09,1,7,7195.0,More than 1,A,Platinum,105792
Male,Urban,High School,7.62,1,5,6602.0,1,A,Platinum,34368
Male,Rural,High School,88.38,1,7,6130.0,More than 1,A,Silver,94464
Female,Urban,High School,34.27,0,1,2683.0,1,C,Gold,31716
Male,Rural,Bachelor,5.51,0,4,2761.0,1,A,Silver,35424
Female,Rural,Bachelor,5.18,1,0,0.0,1,,Gold,64260
Male,Urban,High School,19.45,0,7,6104.0,1,A,Silver,112656
Male,Rural,High School,90.34,1,5,2387.0,More than 1,A,Platinum,61344
Male,Rural,High School,12.45,0,0,4499.0,More than 1,A,Platinum,66336
Male,Rural,High School,6.89,1,0,0.0,1,A,Silver,31236
Female,Urban,High School,5.72,0,1,,More than 1,C,Gold,308268
Male,Urban,Bachelor,5.22,0,4,6061.0,More than 1,,Silver,101676
Female,Rural,High School,6.36,0,7,0.0,1,B,Platinum,30372
Male,Urban,High School,9.05,1,3,3368.0,1,A,Platinum,30600
Male,Rural,Bachelor,5.58,1,8,0.0,More than 1,A,Platinum,61908
Male,Urban,Bachelor,8.07,1,3,0.0,1,A,Silver,135456
Female,,High School,90.01,1,0,0.0,More than 1,A,Platinum,101592
Female,Urban,High School,2.02,0,2,6842.0,More than 1,A,Platinum,63648
Female,Urban,High School,6.56,0,8,5695.0,More than 1,C,Platinum,171852
Female,Urban,Bachelor,3.84,0,7,6022.0,More than 1,A,Platinum,93120
Male,Rural,Bachelor,9.75,0,4,6571.0,1,B,Platinum,64596
Male,Urban,High School,64.66,0,6,3554.0,More than 1,A,Platinum,108360
Female,Urban,Bachelor,7.05,0,2,0.0,More than 1,B,Gold,51516
Female,Urban,Bachelor,5.53,0,6,6869.0,More than 1,A,Platinum,98760
Female,Urban,High School,5.19,1,5,2036.0,More than 1,A,Silver,61584
Female,Rural,High School,9.96,0,7,2386.0,More than 1,B,Platinum,67116
Male,Urban,High School,5.8,0,3,3686.0,More than 1,B,Silver,70656
Male,Urban,High School,,0,4,0.0,More than 1,B,Platinum,55044
Female,Rural,Bachelor,5.72,0,5,2155.0,More than 1,B,Silver,64812
Male,Urban,High School,4.87,0,8,5918.0,More than 1,B,Silver,234528
Female,Urban,Bachelor,4.06,0,7,4071.0,More than 1,A,Platinum,289560
Male,Urban,Bachelor,,1,6,21729.0,More than 1,B,Platinum,65748
Male,,Bachelor,9.44,0,4,8172.0,More than 1,A,Platinum,56208
Female,Urban,Bachelor,,0,6,10356.0,More than 1,A,Platinum,242016
Female,,Others,5.17,1,8,0.0,More than 1,A,Silver,65208
Female,Urban,High School,1.32,1,6,4090.0,1,B,Silver,33456
Male,Rural,High School,7.17,0,6,2455.0,1,A,Platinum,63360
Female,Urban,High School,7.37,1,8,3577.0,More than 1,A,Platinum,65664
Male,Urban,Bachelor,,1,7,5801.0,1,A,Platinum,32484
Female,Urban,Bachelor,41.11,1,1,,1,A,Silver,60264
Female,Urban,Bachelor,87.44,1,7,2160.0,More than 1,,Gold,89340
Female,Urban,High School,5.67,1,6,6350.0,1,A,Platinum,44112
Male,Urban,High School,6.03,0,2,5886.0,1,A,Silver,31572
Male,Urban,Bachelor,70.19,1,5,4114.0,More than 1,A,Gold,156156
Male,Urban,Bachelor,7.82,1,6,7712.0,1,B,Platinum,31356
Female,Urban,Bachelor,6.16,1,5,5447.0,More than 1,A,Platinum,61896
Male,Rural,Bachelor,7.04,0,1,6027.0,1,A,Platinum,54096
Female,Urban,High School,5.42,0,6,4035.0,1,A,Platinum,56772
Female,Urban,High School,1.17,0,6,5964.0,More than 1,A,Silver,61032
Male,Urban,High School,9.73,1,4,10184.0,More than 1,A,Platinum,90960
Male,Urban,High School,8.31,1,6,14803.0,More than 1,B,Platinum,63924
Female,Rural,Bachelor,6.2,1,1,2396.0,More than 1,C,Gold,67932
Male,Urban,High School,,1,6,3223.0,More than 1,,Silver,49452
Female,Urban,Bachelor,,0,8,4029.0,More than 1,A,Silver,66036
Female,Urban,High School,8.23,1,0,5627.0,More than 1,A,Platinum,637200
Female,Urban,Bachelor,7.43,1,6,5470.0,More than 1,A,Platinum,107484
Female,Urban,High School,,0,6,5901.0,1,A,Gold,35448
Female,Urban,High School,,0,6,3672.0,More than 1,B,Silver,199200
Male,Urban,High School,5.81,1,6,5727.0,More than 1,,Platinum,64860
Female,Urban,High School,3.0,0,7,3864.0,More than 1,B,Platinum,165108
Male,Rural,Others,5.07,1,6,2227.0,More than 1,A,Gold,98424
Female,Urban,Others,3.55,1,4,3852.0,More than 1,B,Platinum,258096
Male,,Bachelor,80.76,0,7,0.0,1,A,Gold,52464
Male,Rural,High School,9.97,1,5,2519.0,1,B,Platinum,101160
Male,Urban,Bachelor,4.41,1,2,6941.0,More than 1,B,Silver,65808
Female,Urban,High School,6.52,1,6,0.0,More than 1,A,Gold,106272
Female,Rural,High School,48.16,1,8,0.0,More than 1,B,Platinum,59160
Male,Rural,High School,4.53,1,0,0.0,1,A,Silver,30312
Male,Rural,Bachelor,8.88,0,8,15340.0,More than 1,B,Silver,132876
Female,Urban,Bachelor,2.52,1,5,4374.0,More than 1,A,Platinum,66276
Male,Rural,High School,5.39,0,2,3589.0,More than 1,C,Gold,32244
Female,Urban,Bachelor,5.12,1,8,2455.0,More than 1,C,Platinum,112932
Female,Rural,Bachelor,7.5,1,6,0.0,1,B,Silver,35364
Female,Urban,Bachelor,8.94,0,3,4614.0,More than 1,C,Silver,61848
Male,Urban,High School,9.52,0,6,4042.0,More than 1,A,Platinum,156696
Male,Rural,Bachelor,,1,7,0.0,1,A,Platinum,58908
Male,Urban,High School,4.44,0,8,0.0,More than 1,A,Platinum,66240
Male,Rural,Bachelor,40.83,1,6,0.0,1,B,Silver,44184
Male,Urban,Bachelor,2.17,1,6,,More than 1,B,Silver,66636
Male,Urban,Bachelor,9.51,1,5,5624.0,1,C,Silver,55020
Female,Urban,High School,9.68,1,3,6065.0,More than 1,A,Platinum,107364
Male,Urban,Bachelor,7.6,1,3,4777.0,More than 1,A,Platinum,100044
Male,Urban,High School,7.93,0,3,10805.0,More than 1,A,Silver,114408
Male,Urban,Bachelor,6.2,0,8,10619.0,More than 1,A,Platinum,384780
Male,Rural,High School,5.59,0,4,0.0,1,A,Platinum,30492
Female,Rural,Bachelor,50.55,0,5,0.0,More than 1,B,Platinum,71496
Male,Urban,High School,7.65,0,1,2987.0,More than 1,A,Gold,62244
Female,Rural,Bachelor,9.7,1,5,3336.0,More than 1,A,Silver,64968
Male,Urban,High School,8.02,1,5,3873.0,More than 1,A,Platinum,74376
Male,Urban,High School,2.35,0,6,7045.0,1,B,Platinum,39168
Male,Rural,High School,82.74,1,4,5037.0,1,C,Platinum,33984
Male,Urban,High School,51.03,1,4,5573.0,More than 1,A,Platinum,242052
Female,Urban,High School,,1,6,4234.0,1,A,Gold,48348
Female,Rural,Bachelor,7.81,1,6,2160.0,More than 1,C,Silver,73608
Male,Urban,Bachelor,,1,6,5534.0,More than 1,A,Platinum,102600
Male,Urban,High School,8.92,1,4,5653.0,More than 1,B,Gold,180972
Male,Urban,Bachelor,9.08,1,1,6214.0,1,C,Gold,46176
Female,Urban,High School,9.98,0,4,9407.0,More than 1,A,Gold,63672
Male,Rural,Bachelor,2.7,0,8,,More than 1,A,Platinum,304296
Male,Urban,High School,2.72,1,7,6827.0,More than 1,A,Platinum,59832
Male,Rural,High School,29.96,1,6,0.0,More than 1,A,Platinum,62940
Male,Urban,Bachelor,2.74,1,5,2986.0,1,C,Platinum,46572
Female,Urban,High School,7.27,1,2,6092.0,1,,Gold,36456
Female,Rural,Bachelor,9.09,0,8,2095.0,More than 1,B,Silver,66456
Male,Urban,Bachelor,3.43,1,1,5072.0,More than 1,A,Silver,64944
Male,Rural,High School,,0,2,0.0,More than 1,A,Platinum,424404
Male,Urban,Others,1.68,0,2,5751.0,1,A,Platinum,46416
Male,Rural,High School,6.25,1,7,,More than 1,A,Platinum,63300
Male,,High School,,0,2,6165.0,More than 1,A,Platinum,66588
Female,Urban,Bachelor,8.18,0,4,8823.0,More than 1,B,Gold,87672
Female,Rural,High School,6.21,1,8,2173.0,More than 1,B,Platinum,77748
Male,Urban,High School,8.64,1,4,7378.0,1,A,Platinum,48084
Male,Urban,Others,2.01,0,1,4370.0,More than 1,B,Platinum,175908
Male,Urban,High School,5.38,1,6,4253.0,1,A,Platinum,31296
Female,Rural,Others,,1,5,0.0,More than 1,A,Gold,66336
Female,Urban,Bachelor,6.92,0,1,5728.0,More than 1,C,Platinum,63708
Male,Urban,High School,1.59,1,5,5056.0,More than 1,A,Platinum,66480
Female,Urban,Bachelor,,1,5,6586.0,More than 1,A,Gold,105096
Male,Urban,High School,5.65,1,1,7125.0,1,A,Gold,65148
Male,Rural,Bachelor,3.72,0,5,0.0,1,B,Gold,55992
Male,Urban,Bachelor,,1,8,6114.0,1,B,Platinum,61152
Male,Urban,Bachelor,2.22,1,8,4399.0,More than 1,B,Silver,70344
Male,Urban,High School,5.27,0,6,11646.0,More than 1,A,Platinum,75360
Female,Rural,Bachelor,7.09,0,5,3167.0,More than 1,A,Platinum,328176
Female,Urban,Bachelor,2.5,0,2,6420.0,More than 1,A,Platinum,145164
Female,Rural,Bachelor,48.86,1,3,0.0,1,A,Silver,49740
Female,,High School,5.72,0,4,2900.0,More than 1,A,Platinum,99420
Female,Urban,High School,3.71,1,0,4481.0,More than 1,A,Gold,59928
Male,Urban,High School,25.38,1,2,11657.0,1,A,Platinum,59604
Female,Urban,High School,3.31,0,5,6858.0,More than 1,A,Platinum,57468
Male,Rural,Others,9.01,0,7,2135.0,1,A,Gold,31356
Male,Urban,Bachelor,2.92,1,3,8488.0,1,A,Platinum,407040
Male,Rural,Bachelor,4.28,0,2,3509.0,More than 1,A,Platinum,101832
Male,Urban,Bachelor,9.75,0,3,4214.0,More than 1,A,Platinum,60900
Male,Rural,High School,9.68,1,2,2195.0,1,,Platinum,35700
Male,Rural,High School,3.12,0,7,4255.0,More than 1,B,Platinum,67260
Male,Urban,Bachelor,5.71,1,6,2861.0,1,B,Silver,36408
Female,Urban,High School,5.99,1,5,5665.0,More than 1,B,Platinum,117528
Female,Urban,High School,9.8,0,5,4247.0,More than 1,B,Silver,97764
Male,Rural,Bachelor,7.99,0,7,3483.0,More than 1,A,Gold,72672
Male,Rural,Bachelor,5.03,1,4,,1,A,Platinum,54744
Female,Rural,High School,78.92,0,3,0.0,More than 1,A,Platinum,60864
Male,Rural,Bachelor,6.64,1,8,0.0,1,A,Silver,46800
Female,Rural,Others,8.38,1,8,2489.0,More than 1,C,Platinum,65628
Female,Rural,High School,7.7,1,4,3084.0,More than 1,A,Gold,103716
Male,Urban,High School,3.17,1,5,5570.0,1,A,Silver,32076
Female,Rural,High School,40.99,0,7,2667.0,1,C,Silver,55992
Male,Urban,Others,3.13,1,5,2572.0,1,A,Platinum,62856
Male,Urban,High School,6.21,1,3,5778.0,More than 1,A,Platinum,54792
Male,Rural,Bachelor,6.79,0,3,,1,A,Platinum,33132
Male,Rural,Bachelor,6.69,0,8,0.0,More than 1,B,Platinum,314244
Female,,High School,7.02,0,1,10142.0,More than 1,A,Gold,171744
Female,Urban,Bachelor,4.02,1,6,3517.0,1,A,Platinum,55872
Female,Urban,Bachelor,2.58,0,4,6203.0,More than 1,B,Silver,66384
Male,Urban,Bachelor,9.82,1,1,2068.0,1,C,Silver,35268
Male,Urban,Bachelor,7.79,0,1,3828.0,More than 1,A,Silver,177288
Female,Urban,Bachelor,,0,1,4144.0,More than 1,A,Platinum,62640
Male,Urban,High School,4.15,1,4,3254.0,1,B,Platinum,143676
Male,,High School,9.07,1,0,3352.0,1,A,Platinum,50676
Female,,Bachelor,8.93,1,1,2787.0,1,A,Gold,69096
Female,Urban,High School,,0,3,6369.0,1,A,Silver,32184
Male,Rural,High School,8.51,0,6,4273.0,More than 1,B,Silver,54636
Female,Urban,Others,7.11,0,4,6101.0,1,A,Gold,57528
Female,Urban,Bachelor,6.87,0,6,7040.0,1,A,Silver,65388
Female,Rural,High School,41.89,0,7,0.0,More than 1,B,Platinum,67056
Female,Urban,High School,2.44,1,6,3614.0,1,A,Platinum,61380
Female,Rural,High School,8.14,0,5,0.0,1,A,Platinum,56244
Female,Urban,High School,7.88,0,6,0.0,More than 1,A,Gold,328644
Male,Urban,Bachelor,40.29,0,3,6626.0,1,A,Silver,31956
Male,Rural,Bachelor,,0,7,2510.0,More than 1,B,Platinum,350580
Male,Urban,Bachelor,6.99,1,6,2429.0,More than 1,C,Platinum,69264
Male,Urban,High School,6.36,0,7,5674.0,More than 1,A,Silver,47328
Male,Urban,Bachelor,8.42,1,8,3885.0,1,A,Platinum,92784
Male,Urban,High School,9.52,1,6,6215.0,1,A,Platinum,51936
Male,Rural,High School,7.51,1,0,0.0,More than 1,A,Silver,67044
Female,Urban,High School,7.37,1,6,2214.0,More than 1,B,Platinum,67692
Female,Urban,Bachelor,6.63,1,8,,More than 1,A,Platinum,58932
Male,Urban,High School,0.13,0,5,5499.0,More than 1,A,Platinum,57996
Male,Rural,Bachelor,8.5,1,7,3528.0,More than 1,A,Platinum,60756
Male,Urban,High School,8.91,0,3,10869.0,More than 1,A,Platinum,46644
Female,Urban,High School,4.44,0,7,5736.0,More than 1,B,Platinum,62004
Female,,High School,3.08,0,5,4028.0,1,B,Platinum,31284
Male,Urban,Bachelor,6.36,0,1,7605.0,More than 1,,Platinum,107784
Male,Urban,High School,3.19,1,7,3500.0,1,A,Platinum,69360
Male,Urban,Bachelor,4.75,1,1,5386.0,More than 1,A,Platinum,101652
Male,Rural,High School,20.69,1,8,0.0,1,A,Silver,69864
Male,Urban,Bachelor,2.24,0,2,8767.0,More than 1,A,Platinum,527592
Female,Urban,High School,3.67,0,4,5599.0,1,A,Silver,29256
Female,Rural,High School,55.34,1,8,3202.0,1,A,Platinum,69060
Male,Rural,High School,5.65,0,6,3289.0,More than 1,B,Platinum,68460
Male,Rural,High School,56.14,0,7,3750.0,1,A,Platinum,34224
Female,Rural,High School,5.67,1,7,0.0,1,C,Silver,76980
Male,Urban,High School,8.88,1,7,8761.0,More than 1,B,Silver,89676
Male,Rural,Bachelor,6.31,1,5,0.0,More than 1,A,Platinum,136656
Male,Urban,Bachelor,3.32,1,4,0.0,More than 1,B,Platinum,64068
Male,Urban,High School,7.99,1,4,6040.0,1,A,Platinum,51048
Female,Urban,Bachelor,3.3,0,6,6820.0,More than 1,B,Gold,130344
Male,Urban,Bachelor,7.55,0,8,9115.0,1,A,Platinum,32580
Female,Urban,Others,9.26,0,7,3933.0,1,A,Platinum,34176
Male,Urban,Bachelor,6.76,1,5,5052.0,More than 1,A,Silver,66132
Female,Urban,High School,6.75,1,3,5895.0,1,A,Platinum,31068
Male,Urban,Bachelor,,0,6,3900.0,1,A,Gold,46596
Male,Urban,Bachelor,6.12,1,7,5799.0,More than 1,B,Gold,65424
Male,Urban,Bachelor,97.18,1,7,5676.0,More than 1,C,Platinum,334836
Male,Urban,Bachelor,2.05,0,6,4579.0,More than 1,A,Silver,62340
Male,Urban,Bachelor,4.08,1,4,3780.0,More than 1,A,Gold,59100
Male,Urban,High School,2.95,0,5,8113.0,More than 1,A,Platinum,88692
Male,Rural,High School,9.43,1,5,10869.0,More than 1,A,Gold,195696
Male,,Others,3.56,1,1,7475.0,More than 1,A,Platinum,64416
Female,Urban,High School,9.31,1,6,,More than 1,A,Platinum,62664
Female,Rural,Bachelor,6.28,1,5,0.0,More than 1,B,Platinum,69048
Male,Urban,High School,4.63,1,4,5724.0,More than 1,C,Gold,68928
Male,Urban,Others,0.23,1,8,12222.0,1,B,Silver,61104
Female,Urban,High School,9.07,0,7,3081.0,More than 1,B,Silver,71520
Female,Urban,High School,5.33,1,5,,1,A,Platinum,63960
Male,Urban,Bachelor,17.71,1,6,6291.0,More than 1,A,Gold,211008
Female,Urban,Others,4.3,0,5,5335.0,1,A,Silver,36204
Female,Rural,High School,6.15,0,7,2967.0,More than 1,C,Platinum,70128
Female,Rural,Bachelor,7.06,1,8,0.0,More than 1,B,Silver,71964
Male,,High School,6.2,0,1,2409.0,1,A,Platinum,32508
Male,,Bachelor,6.55,1,1,2223.0,1,A,Platinum,32124
Female,Urban,Bachelor,3.93,1,7,5797.0,More than 1,A,Silver,109008
Female,Urban,Bachelor,4.89,1,4,3729.0,More than 1,B,Silver,71772
Female,Urban,Bachelor,2.5,0,8,5205.0,More than 1,A,Silver,56592
Male,Urban,Bachelor,6.48,1,1,0.0,More than 1,B,Platinum,60252
Male,Rural,Bachelor,9.72,1,4,2387.0,More than 1,A,Platinum,103884
Male,Urban,Bachelor,4.52,0,0,3929.0,1,C,Silver,52524
Female,Urban,High School,46.02,0,7,5967.0,More than 1,A,Platinum,105624
Female,Rural,High School,58.04,0,4,0.0,1,A,Gold,33432
Male,Rural,Bachelor,9.38,0,7,,More than 1,C,Platinum,59340
Female,Rural,Bachelor,7.94,1,5,3047.0,More than 1,A,Platinum,63048
Male,Rural,High School,8.36,0,7,0.0,More than 1,B,Silver,107436
Female,Rural,Bachelor,5.04,0,1,3934.0,1,A,Platinum,61752
